input,label
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg015.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg016.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg017.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg018.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg019.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg020.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg021.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg022.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg023.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg024.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg025.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg026.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg027.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg028.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg029.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg030.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg031.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg032.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg033.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg034.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg035.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg036.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg037.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg038.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg039.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg040.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg041.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg042.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg043.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg044.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg045.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg046.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg047.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg048.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg049.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg050.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg051.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg052.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg053.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg054.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg055.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg056.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg057.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg058.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg059.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg060.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg061.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg062.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg063.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg064.mat
deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg065.mat,deepship_baseline_mat\Cargo\AFRICAN_KITE-70-20171214_seg066.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg001.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg002.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg003.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg004.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg005.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg006.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg007.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg008.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg009.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg010.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg011.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg012.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg013.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg014.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg015.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg016.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg017.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg018.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg019.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg020.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg021.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg022.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg023.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg024.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg025.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg026.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg027.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg028.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg029.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg030.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg031.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg032.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg033.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg034.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg035.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg036.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg037.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg038.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg039.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg040.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg041.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg042.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg043.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg044.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg045.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg046.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg047.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg048.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg049.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg050.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg051.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg052.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg053.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg054.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg055.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg056.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg057.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg058.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg059.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg060.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg061.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg062.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg063.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg064.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg065.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg066.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg067.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg068.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg069.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg070.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg071.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg072.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg073.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg074.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg075.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg076.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg077.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg078.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg079.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg080.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg081.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg082.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg083.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg084.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg085.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg086.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg087.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg088.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg089.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg090.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg091.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg092.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg093.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg094.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg095.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg096.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg097.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg098.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg099.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg100.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg101.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg102.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg103.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg104.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg105.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg106.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg107.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg108.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg109.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg110.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg111.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg112.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg113.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg114.mat
deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg115.mat,deepship_baseline_mat\Tanker\AGNES_VICTORY-80-20180330_seg116.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg001.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg002.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg003.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg004.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg005.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg006.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg007.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg008.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg009.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg010.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg011.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg012.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg013.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg014.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg015.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg016.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg017.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg018.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg019.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg020.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg021.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg022.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg023.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg024.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg025.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg026.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg027.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg028.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg029.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg030.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg031.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg032.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg033.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg034.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg035.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg036.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg037.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg038.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg039.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg040.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg041.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg042.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg043.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg044.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg045.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg046.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg047.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg048.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg049.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg050.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg051.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg052.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg053.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg054.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg055.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg056.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg057.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg058.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg059.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg060.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg061.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg062.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg063.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg064.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg065.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg066.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg067.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg068.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg069.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg070.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg071.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg072.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg073.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg074.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg075.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg076.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg077.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg078.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg079.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg080.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170326_seg081.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg001.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg002.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg003.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg004.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg005.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg006.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg007.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg008.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg009.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg010.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg011.mat
deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg012.mat,deepship_baseline_mat\Tanker\ALFRED_N-80-20170403_seg013.mat
